epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.175,1.62928,3.24667,1.14839,0.4306,0.28942,0.25806,0.1575,1.41683,2.11829,1.04832,0.00030147,0.00030147,0.00030147
2,296.17,1.43482,1.92012,1.04848,0.59361,0.4275,0.43057,0.2611,1.27213,1.64152,1.00434,0.000598485,0.000598485,0.000598485
3,442.688,1.34934,1.61552,1.02851,0.76648,0.48187,0.46942,0.28352,1.23463,1.42017,0.99709,0.000889502,0.000889502,0.000889502
4,591.126,1.31511,1.49271,1.01601,0.65464,0.52506,0.50861,0.31949,1.19438,1.3191,0.98724,0.000882003,0.000882003,0.000882003
5,738.877,1.29275,1.40697,1.00733,0.68575,0.54317,0.54302,0.34864,1.14862,1.25745,0.9699,0.000873004,0.000873004,0.000873004
6,885.318,1.25936,1.35538,0.99958,0.73163,0.54725,0.56052,0.3615,1.15463,1.19788,0.96982,0.000864004,0.000864004,0.000864004
7,1034.2,1.2481,1.30931,0.98775,0.68888,0.59627,0.59749,0.39816,1.12548,1.21747,0.96473,0.000855005,0.000855005,0.000855005
8,1184.69,1.2197,1.26095,0.98459,0.71247,0.58575,0.60127,0.39805,1.14095,1.14169,0.9629,0.000846006,0.000846006,0.000846006
9,1329.82,1.21813,1.22982,0.98076,0.70621,0.62614,0.61991,0.41203,1.13401,1.09853,0.95703,0.000837007,0.000837007,0.000837007
10,1475.8,1.20159,1.20349,0.97269,0.69376,0.63565,0.63096,0.42126,1.09949,1.06811,0.95776,0.000828008,0.000828008,0.000828008
